名称,名称(英語),設置場所,都道府県名,市区町村名,行政区名,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
島田商業高校：多目的体育館出入口,"",多目的体育館出入口,静岡県,島田市,"",島田市祇園町8707,34.83498,138.1833956,"","","","","",""
島田工業高校：体育館,"",体育館,静岡県,島田市,"",島田市阿知ヶ谷201,34.839483,138.20198,"","","","","",""
島田工業高校：南校舎１階,"",南校舎１階,静岡県,島田市,"",島田市阿知ヶ谷201,34.839483,138.20198,"","","","","",""
樟誠高校：玄関,"",玄関,静岡県,島田市,"",島田市伊太2075-1,34.848173,138.153527,"","","","","",""
樟誠高校：体育館顧問室,"",体育館顧問室,静岡県,島田市,"",島田市伊太2075-1,34.848173,138.153527,"","","","","",""
樟誠高校：保健室,"",保健室,静岡県,島田市,"",島田市伊太2075-1,34.848173,138.153527,"","","","","",""
島田地域交流センター：２階事務所,"",２階事務所,静岡県,島田市,"",島田市本通3丁目6-1,34.832522,138.175752,"","","","","",""
島田楽習センター：２階事務所,"",２階事務所,静岡県,島田市,"",島田市栄町4-19,34.830836,138.175077,"","","","","",""
初倉西部ふれあいセンター：事務室カウンター,"",事務室カウンター,静岡県,島田市,"",島田市湯日3779,34.804323,138.185695,"","","","","",""
大津農村環境改善センター：事務所,"",事務所,静岡県,島田市,"",島田市尾川1番地,34.860851,138.180683,"","","","","",""
北部ふれあいセンター：１階事務室カウンター上,"",１階事務室カウンター上,静岡県,島田市,"",島田市神座397-1,34.870814,138.11618,"","","","","",""
野外活動センター：山の家宿泊棟１階多目的ホール,"",山の家宿泊棟１階多目的ホール,静岡県,島田市,"",島田市身成103-1,34.901967,138.110166,"","","","","",""
伊久美農村環境改善センター：事務室,"",事務室,静岡県,島田市,"",島田市伊久美3300,34.926868,138.135433,"","","","","",""
六合公民館ロクティ：１階ホールロビー,"",１階ホールロビー,静岡県,島田市,"",島田市道悦5丁目13-3,34.835478,138.209435,"","","","","",""
初倉公民館くらら：１階ロビー受付カウンター,"",１階ロビー受付カウンター,静岡県,島田市,"",島田市阪本1336-1,34.806864,138.222073,"","","","","",""
夢づくり会館：1階事務所,"",夢づくり会館：1階事務所,静岡県,島田市,"",島田市島550番地の2,34.843467,138.124904,"","","","","",""
北五和会館：事務室,"",北五和会館：事務室,静岡県,島田市,"",島田市福用175番地の1,34.899153,138.088608,"","","","","",""
菊川の里会館：1階ロビー,"",菊川の里会館：1階ロビー,静岡県,島田市,"",島田市菊川643番地の2,34.819372,138.109005,"","","","","",""
金谷公民館みんくる：公民館事務室,"",金谷公民館みんくる：公民館事務室,静岡県,島田市,"",島田市金谷代官町3400,34.835068,138.126618,"","","","","",""
かなや会館：1階ロビー,"",かなや会館：1階ロビー,静岡県,島田市,"",島田市金谷新町14番地の2,34.820614,138.123427,"","","","","",""
金谷東会館：1階事務室,"",金谷東会館：1階事務室,静岡県,島田市,"",島田市金谷東2-1329番地の1,34.827511,138.138507,"","","","","",""
島田市役所金谷南支所：１階宿直室,"",島田市役所金谷南支所：１階宿直室,静岡県,島田市,"",島田市金谷本町2014番地の2,34.822981,138.128516,"","","","","",""
島田市役所金谷北支所：１階事務所,"",島田市役所金谷北支所：１階事務所,静岡県,島田市,"",島田市竹下470番地の2,34.846572,138.121041,"","","","","",""
金谷消防庁舎：１階受付,"",金谷消防庁舎：１階受付,静岡県,島田市,"",島田市島863-1,34.840015,138.121471,"","","","","",""
金谷体育センター：ロビー,"",金谷体育センター：ロビー,静岡県,島田市,"",島田市金谷栄町3431,34.833902,138.127016,"","","","","",""
金谷斎場静浄苑：１階事務室,"",金谷斎場静浄苑：１階事務室,静岡県,島田市,"",島田市金谷天王町1820番地の5,34.820178,138.132124,"","","","","",""
金谷幼稚園：職員室,"",金谷幼稚園：職員室,静岡県,島田市,"",島田市金谷根岸町47番地の1,34.827914,138.125844,"","","","","",""
五和幼稚園：玄関受付窓口,"",五和幼稚園：玄関受付窓口,静岡県,島田市,"",島田市島550-6,34.844106,138.125279,"","","","","",""
金谷中央保育園：子育て支援センター,"",金谷中央保育園：子育て支援センター,静岡県,島田市,"",島田市志戸呂95,34.827358,138.124846,"","","","","",""
五和保育園：１階入口,"",五和保育園：１階入口,静岡県,島田市,"",島田市牛尾1111,34.850211,138.127687,"","","","","",""
神谷城保育園：１階事務室,"",神谷城保育園：１階事務室,静岡県,島田市,"",島田市神谷城1202,34.807135,138.118753,"","","","","",""
金谷小学校：体育館,"",金谷小学校：体育館,静岡県,島田市,"",島田市金谷根岸町33,34.826553,138.127155,"","","","","",""
五和小学校：体育館,"",五和小学校：体育館,静岡県,島田市,"",島田市牛尾435,34.846878,138.122382,"","","","","",""
金谷中学校：体育館入口,"",金谷中学校：体育館入口,静岡県,島田市,"",島田市金谷栄町211番地の1,34.832016,138.124358,"","","","","",""
金谷高校：体育館入口,"",金谷高校：体育館入口,静岡県,島田市,"",島田市金谷根岸町35,34.827328,138.126657,"","","","","",""
金谷高校：保健室,"",金谷高校：保健室,静岡県,島田市,"",島田市金谷根岸町35,34.827328,138.126657,"","","","","",""
島田市役所川根支所：１階ロビー,"",島田市役所川根支所：１階ロビー,静岡県,島田市,"",島田市川根町家山4153番地の6,34.939705,138.07687,"","","","","",""
